CPU Name,CPU Mark (Higher is better),Rank (Lower is better),CPU Value (Higher is better),Price (USD)
Intel Xeon W3690 @ 3.47GHz,"7,158",734,15.9,$450.19 
Intel Core i7-7820HQ @ 2.90GHz,"7,125",735,18.85,$378.00*
Intel Xeon D-1557 @ 1.50GHz,"7,118",736,10.26,$694.00*
Intel Xeon E3-1241 v3 @ 3.50GHz,"7,116",737,54.88,$129.66 
Intel Xeon X5679 @ 3.20GHz,"7,095",738,NA,NA
Intel Core i7-4770K @ 3.50GHz,"7,080",739,32.94,$214.98 
Intel Core i7-995X @ 3.60GHz,"7,079",740,NA,NA
Intel Xeon E3-1505M v5 @ 2.80GHz,"7,076",741,NA,NA
AMD Ryzen 3 PRO 3200G,"7,073",743,NA,NA
Intel Core i5-8305G @ 2.80GHz,"7,073",742,NA,NA
AMD Ryzen 3 PRO 3200GE,"7,071",744,NA,NA
Intel Xeon E3-1275 v3 @ 3.50GHz,"7,067",745,35.34,$199.99 
Intel Core i7-4940MX @ 3.10GHz,"7,047",746,10.07,$699.95*
Intel Core i7-4770 @ 3.40GHz,"7,036",748,47.23,$148.98 
Intel Core i7-5850EQ @ 2.70GHz,"7,036",749,16.17,$435.00*
Intel Xeon E-2124 @ 3.30GHz,"7,036",747,32.58,$215.99*
Intel Xeon E3-1245 v3 @ 3.40GHz,"7,025",750,60.05,$116.98 
AMD Opteron 6386 SE,"7,017",752,51.94,$135.09*
AMD Ryzen 5 PRO 3500U,"7,017",751,NA,NA
Intel Core i7-980 @ 3.33GHz,"7,012",753,35.96,$194.99 
Intel Core i7-6820HK @ 2.70GHz,"7,007",754,18.54,$378.00*
Intel Xeon E3-1505M v6 @ 3.00GHz,"7,007",755,NA,NA
AMD Ryzen 5 3450U,"7,002",756,NA,NA
Intel Core i5-10310U @ 1.70GHz,"7,000",757,23.57,$297.00*
Intel Core i7-4771 @ 3.50GHz,"6,998",758,27.99,$249.99 
Intel Xeon E5-1620 v3 @ 3.50GHz,"6,997",759,30.82,$227.00 
Intel Xeon E5-4607 v2 @ 2.60GHz,"6,986",760,5.46,"$1,279.31*"
Intel Xeon D-1540 @ 2.00GHz,"6,982",761,NA,NA
Intel Xeon E3-1231 v3 @ 3.40GHz,"6,972",762,69.73,$99.99 
Intel Xeon E3-1240 v3 @ 3.40GHz,"6,972",763,10.24,$681.00*
Intel Core i7-4790S @ 3.20GHz,"6,965",764,35.18,$198.00 
Intel Xeon E3-1280 v3 @ 3.60GHz,"6,965",765,27.97,$249.00*
Intel Core i7-7700HQ @ 2.80GHz,"6,945",766,18.37,$378.00*
Intel Xeon E5-2440 v2 @ 1.90GHz,"6,927",767,13.86,$499.95*
AMD Opteron 6287 SE,"6,925",769,NA,NA
Intel Core i7-10510U @ 1.80GHz,"6,925",768,16.93,$409.00*
Intel Core i7-6820EQ @ 2.80GHz,"6,924",770,NA,NA
Intel Xeon X5690 @ 3.47GHz,"6,922",771,72.88,$94.98 
Intel Xeon E3-1285 v3 @ 3.60GHz,"6,919",772,NA,NA
AMD Ryzen 3 1300X,"6,913",773,55.48,$124.60 
Intel Core i7-6820HQ @ 2.70GHz,"6,908",774,NA,NA
Intel Core i3-8350K @ 4.00GHz,"6,897",775,27.59,$249.99 
Intel Core i7-6700TE @ 2.40GHz,"6,879",776,NA,NA
Intel Core i7-5850HQ @ 2.70GHz,"6,866",777,15.82,$434.00*
Intel Xeon E5-2430 v2 @ 2.50GHz,"6,864",778,137.31,$49.99 
AMD Ryzen Embedded V1605B,"6,849",779,NA,NA
Intel Xeon E3-1285L v3 @ 3.10GHz,"6,848",780,7.62,$898.50*
Intel Core i5-7600K @ 3.80GHz,"6,844",781,34.49,$198.47 
Intel Xeon E5-4620 @ 2.20GHz,"6,830",782,73.56,$92.84 
AMD Ryzen 5 PRO 2500U,"6,792",783,NA,NA
Intel Xeon E3-1230 v3 @ 3.30GHz,"6,784",784,21.67,$313.00 
AMD Ryzen 7 2700U,"6,778",785,NA,NA
Intel Core i3-9100F @ 3.60GHz,"6,777",786,40.44,$167.56 
Intel Xeon W3680 @ 3.33GHz,"6,776",787,141.53,$47.88 
Intel Xeon E5-2448L v2 @ 1.80GHz,"6,774",788,4.76,"$1,424.00*"
Intel Core i7-970 @ 3.20GHz,"6,771",789,13.02,$520.00 
AMD Ryzen 3 2200G,"6,768",790,42.57,$158.99 
AMD FX-9590 Eight-Core,"6,762",791,15.03,$449.99*
Intel Core i7-4930MX @ 3.00GHz,"6,753",792,6.16,"$1,096.00*"
Intel Core i7-980X @ 3.33GHz,"6,745",793,44.97,$149.98 
Intel Core i7-4770S @ 3.10GHz,"6,736",794,7.48,$899.99*
Intel Xeon X5680 @ 3.33GHz,"6,726",795,47.07,$142.89*
AMD Ryzen 3 PRO 2200G,"6,708",796,NA,NA
Intel Core i7-4980HQ @ 2.80GHz,"6,683",797,NA,NA
Intel Core i5-7600 @ 3.50GHz,"6,670",798,33.35,$199.99 
Intel Xeon E5-2637 v2 @ 3.50GHz,"6,666",799,111.11,$59.99*
Intel Core i5-7640X @ 4.00GHz,"6,636",800,29.44,$225.40*
Intel Core i3-9100 @ 3.60GHz,"6,632",801,29.74,$223.00 
AMD Ryzen 5 2500U,"6,609",802,NA,NA
Intel Xeon E3-1268L v5 @ 2.40GHz,"6,600",803,14.46,$456.54*
Intel Xeon Platinum 8151 @ 3.40GHz,"6,591",804,NA,NA
Intel Xeon E3-1290 V2 @ 3.70GHz,"6,588",805,7.44,$885.00*
Intel Core i7-8665UE @ 1.70GHz,"6,587",806,16.1,$409.00*
Intel Xeon E5-1428L v2 @ 2.20GHz,"6,566",807,322.34,$20.37*
Intel Xeon E5-1620 v2 @ 3.70GHz,"6,562",808,63.77,$102.90 
Intel Core i7-8665U @ 1.90GHz,"6,543",809,9.29,$704.49*
Intel Core i7-6700HQ @ 2.60GHz,"6,538",810,17.3,$378.00*
Intel Xeon Bronze 3106 @ 1.70GHz,"6,532",811,19.79,$329.99 
Intel Core i3-1115G4 @ 3.00GHz,"6,525",812,23.22,$281.00*
Intel Xeon E5-2637 v4 @ 3.50GHz,"6,509",813,9.27,$702.45 
Intel Xeon E3-1265L v4 @ 2.30GHz,"6,493",814,NA,NA
Intel Xeon E5-2420 v2 @ 2.20GHz,"6,489",815,62.14,$104.43*
Intel Xeon W3670 @ 3.20GHz,"6,484",816,21.97,$295.19 
Intel Core i7-4820K @ 3.70GHz,"6,482",817,64.83,$99.99 
Intel Core i5-10210U @ 1.60GHz,"6,473",818,9.21,$702.62*
Intel Core i7-4770R @ 3.20GHz,"6,464",819,NA,NA
Intel Xeon E5-4610 @ 2.40GHz,"6,460",820,30.02,$215.19 
Intel Core i7-8650U @ 1.90GHz,"6,451",821,6.15,"$1,049.00*"
Intel Xeon E3-1286L v3 @ 3.20GHz,"6,450",822,8.33,$774.00*
Intel Xeon E3-1265L v3 @ 2.50GHz,"6,437",823,6.37,"$1,011.00 "
Intel Xeon E3-1270 V2 @ 3.50GHz,"6,437",824,17.4,$370.00 
AMD Ryzen 3 2200GE,"6,433",825,NA,NA
Intel Core i7-3770K @ 3.50GHz,"6,427",826,37.81,$169.99 
Intel Xeon Silver 4112 @ 2.60GHz,"6,420",827,12.49,$513.99 
Intel Xeon E5-2608L v3 @ 2.00GHz,"6,415",828,14.55,$441.00*
Intel Core i5-8365U @ 1.60GHz,"6,410",830,11.89,$539.07*
Intel Core i7-4960HQ @ 2.60GHz,"6,410",829,10.29,$623.00*
Intel Xeon E3-1275 V2 @ 3.50GHz,"6,398",831,42.66,$149.99 
Intel Xeon E3-1280 V2 @ 3.60GHz,"6,390",832,39.94,$159.99 
Intel Core i7-4860HQ @ 2.40GHz,"6,388",833,NA,NA
AMD Opteron 6282 SE,"6,385",834,28.51,$223.99 
Intel Xeon X5675 @ 3.07GHz,"6,382",835,182.45,$34.98 
AMD Ryzen 3 PRO 1200,"6,376",836,NA,NA
Intel Core i7-8565U @ 1.80GHz,"6,375",837,10.37,$615.00*
Intel Core i7-3770 @ 3.40GHz,"6,371",838,19.19,$332.05 
AMD Opteron 6276,"6,351",839,90.74,$70.00*
AMD Ryzen 3 3350U,"6,351",840,NA,NA
Intel Core i7-4870HQ @ 2.50GHz,"6,349",841,NA,NA
Intel Core i7-4790T @ 2.70GHz,"6,347",842,31.75,$199.88*
Intel Core i3-8300 @ 3.70GHz,"6,341",843,22.25,$285.04 
Intel Xeon E5-2630L v2 @ 2.40GHz,"6,337",844,140.58,$45.08 
Intel Xeon E-2254ML @ 1.70GHz,"6,333",845,NA,NA
Intel Xeon E5-2640 @ 2.50GHz,"6,322",846,89.04,$71.00 
Intel Core i5-8350U @ 1.70GHz,"6,300",848,21.21,$297.00*
Intel Core i7-4760HQ @ 2.10GHz,"6,300",847,NA,NA
Intel Xeon E5-4617 @ 2.90GHz,"6,298",849,175.52,$35.88*
Intel Core i7-4910MQ @ 2.90GHz,"6,294",850,13.68,$459.95*
Intel Xeon E3-1240 V2 @ 3.40GHz,"6,286",851,62.87,$99.99 
AMD Ryzen 3 1200,"6,281",853,45.19,$138.99 
Intel Core i5-6600K @ 3.50GHz,"6,281",852,33.06,$189.99 
Intel Xeon E3-1225 v6 @ 3.30GHz,"6,264",854,31.32,$199.99 
AMD Ryzen 3 PRO 2200GE,"6,238",855,NA,NA
Intel Core i3-8100B @ 3.60GHz,"6,226",856,46.81,$133.00*
Intel Xeon E-2104G @ 3.20GHz,"6,215",857,22.25,$279.33 
Intel Xeon E5-2620 v2 @ 2.10GHz,"6,215",858,178.33,$34.85 
Intel Xeon X5660 @ 2.80GHz,"6,210",859,147.86,$42.00*
Intel Xeon E3-1230 V2 @ 3.30GHz,"6,209",860,69,$89.99 
Intel Core i7-3770S @ 3.10GHz,"6,205",862,48.52,$127.88 
Intel Xeon D-1622 @ 2.60GHz,"6,205",861,36.5,$170.00*
Intel Xeon W-2104 @ 3.20GHz,"6,202",863,24.32,$255.00*
Intel Core i7-8565UC @ 1.80GHz,"6,187",864,NA,NA
Intel Xeon E3-1245 V2 @ 3.40GHz,"6,184",865,12.26,$504.22 
AMD Ryzen 3 PRO 2300U,"6,157",866,NA,NA
Intel Core i5-7600T @ 2.80GHz,"6,145",867,30.75,$199.85 
Intel Xeon X5670 @ 2.93GHz,"6,137",868,142.05,$43.20*
Intel Core i7-4850HQ @ 2.30GHz,"6,136",869,14.14,$434.00*
Intel Core i3-8100 @ 3.60GHz,"6,134",871,35.05,$174.98 
Intel Xeon E5-2630 @ 2.30GHz,"6,134",870,103.97,$59.00 
AMD FX-8370 Eight-Core,"6,126",872,26.64,$229.99 
Intel Core i5-8265U @ 1.60GHz,"6,126",873,12.25,$499.88*
Intel Core i7-1185GRE @ 2.80GHz,"6,107",874,NA,NA
Intel Core i7-4770HQ @ 2.20GHz,"6,097",875,NA,NA
Intel Core i5-6600 @ 3.30GHz,"6,095",876,45.15,$134.99 
Intel Core i7-5675C @ 3.10GHz,"6,089",877,NA,NA
Intel Xeon E3-1505L v6 @ 2.20GHz,"6,088",878,NA,NA
Intel Core i7-4810MQ @ 2.80GHz,"6,077",879,35.33,$172.01*
Intel Xeon E5-2658 @ 2.10GHz,"6,073",880,4.15,"$1,462.00*"
AMD Opteron 6344,"6,069",881,16.01,$379.00*
Intel Core i5-7500 @ 3.40GHz,"6,066",882,36.33,$166.96 
Intel Core i5-1030NG7 @ 1.10GHz,"6,055",883,NA,NA
Intel Xeon E3-1220 v6 @ 3.00GHz,"6,048",884,27.56,$219.42 
Intel Core i7-4770T @ 2.50GHz,"6,038",885,8.87,$680.90 
AMD FX-9370 Eight-Core,"6,029",886,15.87,$379.99 
Intel Xeon E3-1240L v5 @ 2.10GHz,"6,025",887,21.67,$278.00*
Intel Xeon D-1521 @ 2.40GHz,"6,017",888,NA,NA
Intel Core i7-4900MQ @ 2.80GHz,"5,991",889,10.21,$586.67*
Intel Core i5-8265UC @ 1.60GHz,"5,988",890,NA,NA
Intel Xeon E5-2609 v4 @ 1.70GHz,"5,974",891,13.28,$449.95 
AMD Ryzen 3 PRO 3300U,"5,963",892,NA,NA
Intel Core i7-5700HQ @ 2.70GHz,"5,960",893,NA,NA
Intel Core i5-8250U @ 1.60GHz,"5,958",894,NA,NA
Intel Xeon E3-1275L v3 @ 2.70GHz,"5,949",895,NA,NA
Intel Core i7-3840QM @ 2.80GHz,"5,943",896,10.83,$548.87*
Intel Xeon E5-2430L v2 @ 2.40GHz,"5,943",897,NA,NA
AMD FX-8350 Eight-Core,"5,942",898,44.55,$133.37 
Intel Core i7-8550U @ 1.80GHz,"5,931",899,NA,NA
Intel Xeon E5-2650L @ 1.80GHz,"5,929",900,85.92,$69.00*
Intel Core i3-9300T @ 3.20GHz,"5,927",901,41.45,$143.00*
Intel Xeon D-1528 @ 1.90GHz,"5,910",902,NA,NA
Intel Core i7-5700EQ @ 2.60GHz,"5,905",903,NA,NA
AMD Opteron 6378,"5,889",904,3.44,"$1,711.99 "
AMD Ryzen 3 3300U,"5,870",905,NA,NA
Intel Xeon E5-1620 @ 3.60GHz,"5,869",906,40.85,$143.66*
Intel Xeon E5-2430 @ 2.20GHz,"5,867",907,23.01,$254.95 
Intel Xeon E3-1225 v5 @ 3.30GHz,"5,863",908,34.49,$169.99 
Intel Core i7-4800MQ @ 2.70GHz,"5,858",909,30.18,$194.10*
Intel Xeon E5-1410 v2 @ 2.80GHz,"5,842",910,304.26,$19.20*
Intel Xeon E5-2440 @ 2.40GHz,"5,841",911,34.36,$170.00 
Intel Core i3-8300T @ 3.20GHz,"5,827",912,36.66,$158.95*
Intel Core i7-4710MQ @ 2.50GHz,"5,801",913,21.36,$271.57*
Intel Xeon X5650 @ 2.67GHz,"5,779",914,82.55,$70.00 
AMD Opteron 4274 HE,"5,776",915,75.02,$76.99 
Intel Xeon E5-2450L @ 1.80GHz,"5,769",916,88.76,$65.00*
Intel Core i7-3920XM @ 2.90GHz,"5,757",917,5.25,"$1,096.00*"
Intel Core i7-3820 @ 3.60GHz,"5,753",918,47.96,$119.97 
Intel Core i5-5675R @ 3.10GHz,"5,738",919,NA,NA
Intel Core i7-4720HQ @ 2.60GHz,"5,721",920,NA,NA
Intel Core i5-7440EQ @ 2.90GHz,"5,711",921,22.84,$250.00*
Intel Core i7-3940XM @ 3.00GHz,"5,697",922,16.56,$344.04*
Intel Xeon E3-1205 v6 @ 3.00GHz,"5,682",923,29.44,$193.00*
Intel Core i7-3820QM @ 2.70GHz,"5,675",924,20.64,$275.00*
Intel Core i5-5675C @ 3.10GHz,"5,673",926,21.84,$259.77 
Intel Core i7-3720QM @ 2.60GHz,"5,673",925,16.07,$353.00*
Intel Core i3-9100T @ 3.10GHz,"5,660",927,46.4,$122.00*
Intel Core i5-6600T @ 2.70GHz,"5,654",928,46.36,$121.96 
Intel Core i7-3740QM @ 2.70GHz,"5,652",929,25.93,$218.02*
Intel Xeon D-1559 @ 1.50GHz,"5,647",930,NA,NA
Intel Core i5-6500 @ 3.20GHz,"5,644",931,43.45,$129.89 
Intel Core i7-4750HQ @ 2.00GHz,"5,642",932,NA,NA
Intel Core i7-2700K @ 3.50GHz,"5,630",933,29.79,$189.00 
AMD Opteron 6238,"5,625",934,54.09,$103.99 
Intel Core i7-4722HQ @ 2.40GHz,"5,620",935,NA,NA
Intel Core i5-4690K @ 3.50GHz,"5,600",936,61.69,$90.78 
Intel Core i5-7440HQ @ 2.80GHz,"5,590",937,NA,NA
Intel Core i7-3770T @ 2.50GHz,"5,587",938,30.65,$182.28 
Intel Core i5-4690 @ 3.50GHz,"5,581",939,21.89,$254.97 
AMD Opteron 6376,"5,572",940,17.97,$309.99 
Intel Xeon E3-1220 v5 @ 3.00GHz,"5,558",941,23.2,$239.58 
Intel Core i5-7400 @ 3.00GHz,"5,517",942,14.99,$368.00 
Intel Core i5-6402P @ 2.80GHz,"5,510",945,29,$189.99*
Intel Xeon E3-1280 @ 3.50GHz,"5,510",943,11.02,$500.00 
Intel Xeon E5-2643 @ 3.30GHz,"5,510",944,61.6,$89.44*
Intel Core i5-4670K @ 3.40GHz,"5,509",946,21.45,$256.88 
Intel Core i7-4700HQ @ 2.40GHz,"5,501",947,14.36,$383.00*
AMD Ryzen Embedded V1404I,"5,491",948,NA,NA
AMD Ryzen 3 2300U,"5,489",949,NA,NA
Intel Core i5-4690S @ 3.20GHz,"5,455",950,15.19,$359.21*
Intel Core i7-2600K @ 3.40GHz,"5,454",951,35.42,$153.99 
Intel Core i5-760S @ 2.53GHz,"5,440",952,NA,NA
Intel Core i7-4710HQ @ 2.50GHz,"5,438",953,14.39,$378.00*
Intel Xeon E5-1607 v4 @ 3.10GHz,"5,438",954,135.98,$39.99*
Intel Pentium Gold 7505 @ 2.00GHz,"5,409",955,NA,NA
Intel Core i5-8365UE @ 1.60GHz,"5,408",956,18.21,$297.00*
Intel Xeon E3-1226 v3 @ 3.30GHz,"5,403",957,54.1,$99.88 
Intel Core i5-4670 @ 3.40GHz,"5,396",958,17.21,$313.56*
Intel Core i7-4785T @ 2.20GHz,"5,396",959,NA,NA
AMD FX-8320 Eight-Core,"5,395",960,72.85,$74.06 
Intel Core i5-7500T @ 2.70GHz,"5,370",961,28.28,$189.88 
Intel Core i5-6440EQ @ 2.70GHz,"5,368",962,NA,NA
Intel Xeon E3-1270 @ 3.40GHz,"5,366",963,27.52,$195.00 
Intel Xeon E3-1275 @ 3.40GHz,"5,352",964,35.37,$151.34*
Intel Xeon E3-1268L v3 @ 2.30GHz,"5,333",965,NA,NA
Intel Xeon E3-1245 @ 3.30GHz,"5,329",966,15,$355.19 
Intel Core i7-2600 @ 3.40GHz,"5,326",967,39.04,$136.42 
Intel Core i7-4700MQ @ 2.40GHz,"5,324",968,28.32,$188.02*
Intel Core i5-4590 @ 3.30GHz,"5,316",969,59.07,$89.99 
Intel Core i7-3615QE @ 2.30GHz,"5,308",970,NA,NA
Intel Xeon X5687 @ 3.60GHz,"5,308",971,35.4,$149.95*
Intel Xeon E5-2630L @ 2.00GHz,"5,305",972,NA,NA
Intel Core i7-10510Y @ 1.20GHz,"5,289",973,13.12,$403.00*
AMD Opteron 6274,"5,286",974,5.19,"$1,018.00 "
Intel Core i3-8100T @ 3.10GHz,"5,280",976,37.55,$140.61*
Intel Core i7-4860EQ @ 1.80GHz,"5,280",975,NA,NA
Intel Core i3-1005G1 @ 1.20GHz,"5,273",977,18.77,$281.00*
Intel Xeon E5-2430L @ 2.00GHz,"5,273",978,163.36,$32.28*
Intel Xeon E3-1225 v3 @ 3.20GHz,"5,272",979,58.58,$89.99 
ARM Neoverse-N1 8 Core 0 MHz,"5,264",980,NA,NA
Intel Xeon E3-1240 @ 3.30GHz,"5,263",981,29.41,$178.95 
AMD FX-8300 Eight-Core,"5,260",982,79.49,$66.17 
Intel Xeon E5-2620 @ 2.00GHz,"5,255",983,40.83,$128.70 
AMD Opteron 6328,"5,246",984,15.25,$343.99 
Intel Core i7-6822EQ @ 2.00GHz,"5,241",985,NA,NA
Intel Core i5-4670R @ 3.00GHz,"5,233",986,18.96,$276.00*
AMD FX-8370E Eight-Core,"5,227",987,207.9,$25.14*
AMD FX-8310 Eight-Core,"5,206",988,6.26,$831.15*
Intel Xeon X5677 @ 3.47GHz,"5,184",989,47.13,$110.00*
Intel Core i7-4712MQ @ 2.30GHz,"5,164",990,NA,NA
Intel Core i5-4670S @ 3.10GHz,"5,160",992,24.22,$213.00*
Intel Core i7-4702HQ @ 2.20GHz,"5,160",991,NA,NA
Intel Core i5-6400 @ 2.70GHz,"5,158",993,39.68,$129.99 
Intel Xeon E5-2420 @ 1.90GHz,"5,155",994,365.06,$14.12 
Intel Xeon W-2102 @ 2.90GHz,"5,153",995,17.95,$286.99*
Intel Core i5-4570 @ 3.20GHz,"5,149",996,54.98,$93.65 
AMD Opteron 6272,"5,146",997,49.48,$103.99 
Intel Core i5-6440HQ @ 2.60GHz,"5,131",998,NA,NA
Intel Core i5-5575R @ 2.80GHz,"5,126",999,NA,NA
Intel Core i5-7300HQ @ 2.50GHz,"5,124",1000,NA,NA
Intel Xeon X5672 @ 3.20GHz,"5,123",1001,113.88,$44.99*
Intel Core i7-3610QM @ 2.30GHz,"5,113",1002,12.78,$399.99*
Intel Core i5-4590S @ 3.00GHz,"5,103",1004,19.63,$260.00 
Intel Core i7-3630QM @ 2.40GHz,"5,103",1003,22.29,$229.00*
Intel Xeon E3-1220 v3 @ 3.10GHz,"5,100",1005,85.02,$59.99 
Intel Core i7-4702MQ @ 2.20GHz,"5,079",1006,14.64,$346.95*
Intel Xeon E3-1240L v3 @ 2.00GHz,"5,062",1007,5.65,$895.50*
Intel Xeon Bronze 3204 @ 1.90GHz,"5,060",1008,22.49,$225.00*
AMD FX-8150 Eight-Core,"5,055",1009,65.32,$77.39 
"Qualcomm Technologies, Inc SM8250","5,051",1010,NA,NA
Intel Core i5-6500TE @ 2.30GHz,"5,044",1011,21.87,$230.61*
Intel Core i5-4670K CPT @ 3.40GHz,"5,034",1012,NA,NA
Intel Xeon E3-1235L v5 @ 2.00GHz,"5,013",1013,NA,NA
Intel Xeon E3-1230 @ 3.20GHz,"5,010",1014,18.54,$270.19 
Intel Core i7-3615QM @ 2.30GHz,"4,996",1015,NA,NA
Intel Core i7-4712HQ @ 2.30GHz,"4,994",1016,NA,NA
Hisilicon Kirin9000,"4,989",1017,NA,NA
Intel Xeon E3-1290 @ 3.60GHz,"4,988",1018,5.64,$885.00*
Intel Xeon E5645 @ 2.40GHz,"4,980",1019,124.54,$39.99 
Intel Xeon E5-1607 v3 @ 3.10GHz,"4,977",1020,NA,NA
AMD FX-8320E Eight-Core,"4,976",1021,26.33,$189.00 
AMD FX-8140 Eight-Core,"4,953",1022,33.27,$148.86*
Intel Core i7-4700EQ @ 2.40GHz,"4,941",1023,NA,NA
Intel Xeon E5649 @ 2.53GHz,"4,936",1024,35.77,$138.00 
Intel Core i7-4765T @ 2.00GHz,"4,924",1025,9.47,$519.99*
"Venus based on Qualcomm Technologies, Inc SM8350","4,919",1026,NA,NA
Intel Core i5-3570K @ 3.40GHz,"4,915",1027,54.82,$89.65 
AMD Athlon 300GE,"4,905",1028,NA,NA
MT6893Z/CZA,"4,901",1029,NA,NA
Intel Core i5-4570S @ 2.90GHz,"4,894",1030,20.39,$240.05*
Intel Xeon Bronze 3104 @ 1.70GHz,"4,887",1031,17.77,$275.00*
Intel Core i5-3570 @ 3.40GHz,"4,884",1032,49.73,$98.21 
AMD Opteron 6366 HE,"4,858",1033,14.12,$343.99 
Intel Core i3-7320 @ 4.10GHz,"4,856",1034,26.99,$179.88 
Intel Core i3-7350K @ 4.20GHz,"4,845",1035,16.15,$299.99 
Intel Xeon E3-1505L v5 @ 2.00GHz,"4,838",1036,NA,NA
Intel Core i5-10210Y @ 1.00GHz,"4,836",1037,NA,NA
"Star based on Qualcomm Technologies, Inc SM8350","4,835",1038,NA,NA
Intel Core i5-7442EQ @ 2.10GHz,"4,834",1039,19.34,$250.00*
"Qualcomm Technologies, Inc KONA","4,831",1040,NA,NA
Intel Xeon E5-1603 v4 @ 2.80GHz,"4,812",1041,NA,NA
MT6893Z_A/CZA,"4,809",1042,NA,NA
Intel Core i5-4460 @ 3.20GHz,"4,794",1043,58.47,$81.99 
Intel Xeon D-1518 @ 2.20GHz,"4,784",1044,NA,NA
Intel Core i7-3612QE @ 2.10GHz,"4,783",1045,NA,NA
Intel Core i5-4570R @ 2.70GHz,"4,776",1046,NA,NA
Intel Core i5-6500T @ 2.50GHz,"4,773",1047,21.55,$221.52*
Intel Core i5-3550 @ 3.30GHz,"4,770",1048,25.38,$187.91 
Apple A13 Bionic,"4,768",1049,NA,NA
Intel Core i7-3610QE @ 2.30GHz,"4,767",1050,NA,NA
Intel Xeon E3-1230L v3 @ 1.80GHz,"4,764",1051,10.62,$448.50*
Intel Core i3-7300 @ 4.00GHz,"4,761",1052,24.31,$195.85 
ARM Neoverse-N1 6 Core 0 MHz,"4,756",1053,NA,NA
AMD Opteron 6220,"4,753",1054,45.7,$103.99 
Intel Core i5-4470S @ 3.00GHz,"4,742",1055,NA,NA
Intel Xeon E3-1225 V2 @ 3.20GHz,"4,734",1056,21.02,$225.19 
Intel Xeon E3-1235 @ 3.20GHz,"4,725",1057,16.45,$287.19 
Intel Core i5-7400T @ 2.40GHz,"4,723",1058,26.3,$179.60 
Intel Xeon E5-2603 v4 @ 1.70GHz,"4,695",1059,14.45,$325.00 
Intel Xeon E3-1220 V2 @ 3.10GHz,"4,692",1060,36.1,$129.95 
Intel Core i5-4440 @ 3.10GHz,"4,684",1061,39.04,$119.99 
Intel Atom C3758 @ 2.20GHz,"4,675",1062,24.22,$193.00*
Intel Core i7-3635QM @ 2.40GHz,"4,669",1063,NA,NA
Intel Core i5-6300HQ @ 2.30GHz,"4,667",1064,NA,NA
AMD Opteron 4284,"4,665",1065,44.86,$103.99 
Intel Core i5-3470 @ 3.20GHz,"4,636",1066,28.42,$163.11*
Intel Core i5-4430 @ 3.00GHz,"4,634",1067,29.9,$154.98 
Intel Xeon E5-1410 @ 2.80GHz,"4,634",1068,103,$44.99*
AMD Athlon Silver PRO 3125GE,"4,633",1069,NA,NA
Qualcomm Snapdragon 8350,"4,614",1070,NA,NA
"Qualcomm Technologies, Inc SM8350","4,611",1071,NA,NA
Intel Pentium 6805 @ 1.10GHz,"4,600",1072,28.57,$161.00*
Intel Xeon L5640 @ 2.27GHz,"4,591",1073,27.01,$170.00 
Intel Xeon E3-1265L V2 @ 2.50GHz,"4,582",1074,30.55,$149.99 
Intel Core i5-3570S @ 3.10GHz,"4,579",1075,65.43,$69.99 
Intel Core i7-3632QM @ 2.20GHz,"4,579",1076,25.72,$178.02*
AMD Athlon Silver 3050GE,"4,545",1077,NA,NA
Intel Pentium Gold G6605 @ 4.30GHz,"4,539",1078,52.78,$86.00*
AMD Athlon 220GE,"4,538",1079,21.59,$210.24*
AMD Athlon 240GE,"4,538",1081,20.53,$221.00*
AMD FX-8120 Eight-Core,"4,538",1080,71.73,$63.27 
Intel Core i7-2860QM @ 2.50GHz,"4,536",1082,24.92,$182.01*
Intel Xeon X5667 @ 3.07GHz,"4,534",1083,251.32,$18.04*
Intel Xeon X5647 @ 2.93GHz,"4,522",1084,226.91,$19.93*
Intel Core i5-6442EQ @ 1.90GHz,"4,519",1085,18.08,$250.00*
Intel Xeon E5-1603 v3 @ 2.80GHz,"4,511",1086,350.2,$12.88*
AMD Opteron 4280,"4,504",1087,47.41,$94.99 
Intel Core i3-9100TE @ 2.20GHz,"4,501",1088,36.89,$122.00*
Samsung Exynos 2100,"4,495",1089,NA,NA
Intel Core i5-3550S @ 3.00GHz,"4,494",1090,14.05,$319.95*
AMD FX-6350 Six-Core,"4,491",1091,27.06,$165.99 
"Haydn based on Qualcomm Technologies, Inc SM8350","4,486",1092,NA,NA
AMD Athlon PRO 300GE,"4,484",1093,NA,NA
Intel Core i5-3450 @ 3.10GHz,"4,474",1094,47.13,$94.92 
Intel Core i5-4690T @ 2.50GHz,"4,474",1095,NA,NA
Intel Core i5-4460S @ 2.90GHz,"4,473",1096,6.78,$659.99*
Intel Core i7-3612QM @ 2.10GHz,"4,471",1097,NA,NA
AMD Athlon 3000G,"4,457",1098,81.06,$54.99*
AMD FX-6330 Six-Core,"4,455",1099,NA,NA
Apple A12 Bionic,"4,454",1100,NA,NA
Intel Core i7-2760QM @ 2.40GHz,"4,434",1101,32.13,$138.02*
Intel Xeon L5639 @ 2.13GHz,"4,419",1102,NA,NA
Intel Core i3-6300 @ 3.80GHz,"4,411",1103,25.97,$169.88 
Intel Core i7-2920XM @ 2.50GHz,"4,398",1104,36.65,$120.00*
Intel Pentium Gold G6600 @ 4.20GHz,"4,396",1105,37.08,$118.57 
